,Hour,LAW_CAT_CD,count
0,0,FELONY,101245
1,1,FELONY,68087
2,2,FELONY,57131
3,3,FELONY,49945
4,4,FELONY,44167
5,5,FELONY,30886
6,6,FELONY,31709
7,7,FELONY,40482
8,8,FELONY,66205
9,9,FELONY,74025
10,10,FELONY,68508
11,11,FELONY,67539
12,12,FELONY,106172
13,13,FELONY,80939
14,14,FELONY,91048
15,15,FELONY,104753
16,16,FELONY,98346
17,17,FELONY,99408
18,18,FELONY,101270
19,19,FELONY,97138
20,20,FELONY,96047
21,21,FELONY,89890
22,22,FELONY,88182
23,23,FELONY,85912
